========================================================================
TOKENIZATION OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total sentences : 4,962
Total tokens    : 130,002
[S02432] [NEUTRAL ]  Comptel Corporation Sami Ervio President and CEO , Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .
[S02433] [NEUTRAL ]  Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height .
[S02434] [NEUTRAL ]  Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros .
[S02435] [NEUTRAL ]  COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited
[NEUTRAL ]  Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .
[S02436] [NEUTRAL ]  Currency conversions are based on exchange rates at the time of the deal .
[S02437] [NEUTRAL ]  Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .
[S02438] [NEUTRAL ]  Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .
[S02439] [NEUTRAL ]  Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. .
[S02440] [NEUTRAL ]  Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .
[S02441] [NEUTRAL ]  Each share is entitled to one vote .
[S02442] [NEUTRAL ]  Each year the dividend is deducted from the subscription price .
[S02443] [NEUTRAL ]  Earnings per share EPS amounted to EUR0 .01 .
[S02444] [NEUTRAL ]  Earnings per share were EUR -0.04 -0.06 .
[S02445] [NEUTRAL ]  Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers .
[S02446] [NEUTRAL ]  Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .
[S02447] [NEUTRAL ]  Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .
[S02448] [NEUTRAL ]  Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .
[S02449] [NEUTRAL ]  Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .
[S02450] [NEUTRAL ]  Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .
[S02451] [NEUTRAL ]  Ethanol would be made from barley , and production could start in 2008 .
[S02452] [NEUTRAL ]  EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .
[S02453] [NEUTRAL ]  Exel is headquartered in Mantyharju in Finland .
[S02454] [NEUTRAL ]  facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .
[S02455] [NEUTRAL ]  Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !
[S02456] [NEUTRAL ]  Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement .
[S02457] [NEUTRAL ]  FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .
[S02458] [POSITIVE]  Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia .
[S02459] [NEUTRAL ]  Finnish Bank of +_land will launch its long-term pension savings account at the beginning of June 2010 .
[S02460] [POSITIVE]  Finnish food company Raisio Oyj HEL : RAIVV said today it will buy British snacks and confectionery company Big Bear Group plc for an enterprise value of EUR 95.3 million USD 129.9 m .
[S02461] [NEUTRAL ]  Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .
[S02462] [NEUTRAL ]  Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk .
[S02463] [NEUTRAL ]  Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .
[S02464] [NEUTRAL ]  Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .
[S02465] [NEUTRAL ]  Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation .
[S02466] [POSITIVE]  firm 28 October 2009 - Finnish lifting equipment maker Konecranes Oyj HEL : KCR1V said today it acquired US Machine Tool Solutions Unlimited in Cincinnati , Ohio , for an undisclosed sum .
[S02467] [NEUTRAL ]  Following the issue , the new shares will constitute 10 percent of the firm 's capital .
[S02468] [NEUTRAL ]  For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland .
[S02469] [NEUTRAL ]  Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people .
[S02470] [NEUTRAL ]  GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .
[S02471] [NEUTRAL ]  Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List .
[S02472] [NEUTRAL ]  Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .
[S02473] [POSITIVE]  Growth is expected to continue in 2008 .
[S02474] [NEUTRAL ]  GyPSii service supports ten different languages including Korean and Russian .
[S02475] [NEUTRAL ]  He confirmed his view on July 6 .
[S02476] [NEUTRAL ]  He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .
[S02477] [NEUTRAL ]  HELSINKI AFX - Cargotec said it has bought a 95 pct stake in Indital Construction Machinery Ltd , a Bangalore-based company that makes fork lift trucks and mobile cranes , for an undisclosed sum .
[S02478] [NEUTRAL ]  HELSINKI AFX - Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum .
[S02479] [NEUTRAL ]  Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date .
[S02480] [NEUTRAL ]  However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .
[S02481] [NEUTRAL ]  HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .
[S02482] [NEUTRAL ]  I can say categorically , no , ' Wahlroos was quoted as saying by the paper , when asked about Sampo 's interest in making a bid for RSA .
[S02483] [NEUTRAL ]  If Honkarakenne starts production there , it will need a partner for sawmill operations .
[S02484] [NEUTRAL ]  In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .
[S02485] [NEUTRAL ]  In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .
[S02486] [NEUTRAL ]  In addition a reduction of nine persons will be made through pension or other arrangements , the company added .
[S02487] [NEUTRAL ]  In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+Ærvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .
[S02488] [NEUTRAL ]  In future , the plant will focus on the production of flange profiles for wind farm towers .
[S02489] [NEUTRAL ]  In return the New York-based private equity firm will receive a 51 % stake in the Latvian IT and telecom group .
[S02490] [NEUTRAL ]  In the Baltic countries , Atria 's target is organic growth .
[S02491] [NEUTRAL ]  Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m.
[S02492] INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .
[S02493] [NEUTRAL ]  India is high on our priority since business links between our two countries is also expanding , '' Tornstrom said .
[S02494] [NEUTRAL ]  IonPhasE 's second major owner is venture capital firm Aura Capital .
[S02495] [NEUTRAL ]  Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .
[S02496] [NEUTRAL ]  It moved into the No.
[S02497] 2 spot in 2000 when it merged steel operations with Avesta Sheffield to form AvestaPolarit .
[S02498] [NEUTRAL ]  ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .
[S02499] [NEUTRAL ]  Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy .
[S02500] [POSITIVE]  Ixonos estimates that it will hire 20 specialists in mechanical engineering , electronics design , and R&D for its new unit in Jyvaeskylae by the end of 2009 .
[S02501] [NEUTRAL ]  Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .
[S02502] [NEUTRAL ]  Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 .
[S02503] [NEUTRAL ]  Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .
[S02504] [NEUTRAL ]  Kemira 's partner in the project is St. Petersburg Water Works .
[S02505] [NEUTRAL ]  Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .
[S02506] [NEUTRAL ]  KONE is listed on the Nordic Exchange in Helsinki .
[S02507] [NEUTRAL ]  L&T is operative in Finland , Sweden , Latvia , Russia and Norway .
[S02508] [NEUTRAL ]  Last week , however , Nokia announced that it will pursue a long-term relationship with Microsoft , and make the Windows Phone 7 operating system the foundation for Nokia mobile phones .
[S02509] [NEUTRAL ]  Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc.
[S02510] .
[S02511] [NEUTRAL ]  LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .
[S02512] [NEUTRAL ]  LONDON AFX - Fortum said it has agreed to sell its industrial maintenance service operations to funds managed by CapMan for an undisclosed sum .
[S02513] [NEUTRAL ]  China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .
[S02514] [NEUTRAL ]  Maximum amount of terminations in Finland is 40 employees , the company added .
[S02515] [NEUTRAL ]  Measures will be launched immediately and are due to be finalized in the first quarter of 2010 .
[S02516] [NEUTRAL ]  Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .
